institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
Bayshire Academy of Beauty Craft Inc,Bay City,MI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,97,0.6242,0.5222,12962,,,,0.7222,,15559,24471,13974,34709,0.143,,43.599758,-83.88895
Be'er Yaakov Talmudic Seminary,Spring Valley,NY,Mid East,Private nonprofit,4-year,Bachelor's,,,765,0.9219,,18000,19858,12300,12300,0.5878,,26758,17360,,28906,,,41.1382062,-74.029573
Beacon College,Leesburg,FL,Southeast,Private nonprofit,4-year,Bachelor's,0.4347,,506,0.2353,0.1912,44260,70775,51680,51680,0.6023,25000,19919,29420,,44653,,0.85,28.811281,-81.87415
Beal University,Wilton,ME,New England,Private for-profit,2-year,Not classified,,,,,0.5412,20463,,,,,19500,40158,35639,18492,52500,0.373,0.547,,
Beal University,Bangor,ME,New England,Private for-profit,4-year,Associate,,,484,0.5412,0.5412,20463,,,,0.36,19500,40158,35639,18492,52500,0.373,0.547,44.786465,-68.785428
Beau Monde Academy of Barbering and Cosmetology,Portland,OR,Far West,Private for-profit,Less than 2-year,Certificate,,,92,0.1778,0.5581,19591,,,,0.7742,8769,22108,24565,13685,44790,0.412,0.357,45.531839,-122.65456
Beaufort County Community College,Washington,NC,Southeast,Public,2-year,Certificate,,,1074,0.3322,0.4952,17376,16245,2540,8684,0.4771,,27973,32519,16959,50058,0.501,,35.533587,-76.96535
Beaumont Adult School,Beaumont,CA,Far West,Public,Less than 2-year,Certificate,,,108,0.7328,,19074,,,,1.0,14866,42153,50801,21451,70470,,0.293,33.951365,-116.964728
Beauty Academy of South Florida,Hialeah Gardens,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,544,0.6272,0.709,0,,,,0.7172,6458,15330,16826,9548,27533,,0.384,25.86289,-80.323571
Beauty Culture School LLC,Feasterville,PA,Mid East,Private for-profit,Less than 2-year,Certificate,,,82,0.2606,0.4902,26161,,,,0.9107,,23274,27341,11929,40685,0.355,,40.166449,-75.007054
Beckfield College-Florence,Florence,KY,Southeast,Private for-profit,4-year,Associate,,,536,0.6405,0.5903,16835,34541,13295,13295,0.3171,23500,34873,37114,20542,55202,0.521,0.633,39.017166,-84.641475
Bel-Rea Institute of Animal Technology,Denver,CO,Rocky Mountains,Private for-profit,2-year,Associate,,,139,0.3827,0.3586,30230,28043,13819,13819,0.2692,20372,37156,39506,21738,52729,0.617,0.516,39.686194,-104.876207
Belanger School of Nursing,Schenectady,NY,Mid East,Private nonprofit,2-year,Associate,0.0,,162,0.2519,0.4898,34283,18492,12444,12444,1.0,,70109,79677,65856,88009,0.774,,42.802979,-73.915884
Belbo Beauty Institute,Shreveport,LA,Southeast,Private for-profit,Less than 2-year,Certificate,,,84,0.663,0.4074,20874,,,,0.7778,9500,21584,16792,7416,35494,0.339,0.566,32.485759,-93.706628
Belhaven University,Jackson,MS,Southeast,Private nonprofit,4-year,Bachelor's,0.4975,1124,1471,0.4865,0.3951,26444,39793,30250,30250,0.4854,26333,38987,46440,30699,66973,0.692,0.567,32.318415,-90.169228
Bella Capelli Academy,Monroeville,PA,Mid East,Private for-profit,Less than 2-year,Certificate,,,259,0.3521,0.398,38179,,,,0.7619,8028,25303,25817,9466,41743,,0.311,40.432534,-79.781557
Bellarmine University,Louisville,KY,Southeast,Private nonprofit,4-year,Bachelor's,0.8611,1210,2161,0.3071,0.2726,68249,61691,48770,48770,0.6436,25000,49819,62069,42145,86137,0.833,0.403,38.219279,-85.704997
Bellevue College,Bellevue,WA,Far West,Public,4-year,Associate,,,7364,0.0992,0.4112,23941,20309,4436,10502,0.3578,12375,47460,56310,31012,85912,0.735,0.22,47.584014,-122.150118
Bellevue University,Bellevue,NE,Plains,Private nonprofit,4-year,Bachelor's,,,10220,0.3004,0.4494,33599,23531,9903,9903,0.3295,20000,57732,61289,39416,93809,0.846,0.326,41.150225,-95.91764
Bellin College,Green Bay,WI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.9718,,372,0.1258,0.3103,83876,42941,30952,30952,0.6304,18000,72118,76222,56301,96731,0.905,0.236,44.468277,-87.921722
Bellingham Technical College,Bellingham,WA,Far West,Public,4-year,Certificate,,,1733,0.3086,0.4055,16695,16104,4431,5809,0.4167,17459,43235,49748,26978,76338,0.741,0.351,48.766189,-122.51216
Bellus Academy,Manhattan,KS,Plains,Private for-profit,Less than 2-year,Certificate,,,209,0.4537,0.4361,23753,,,,0.7407,7917,23546,25223,9302,45871,0.419,0.314,39.191749,-96.60827
Bellus Academy-Chula Vista,Chula Vista,CA,Far West,Private for-profit,2-year,Certificate,,,341,0.6122,0.5615,15830,,,,0.6753,7917,19304,23576,11637,41432,0.391,0.336,32.614773,-117.083738
Bellus Academy-El Cajon,El Cajon,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,157,0.6006,0.4434,24094,,,,0.7179,6333,17642,30807,13333,45347,0.443,0.206,32.794072,-116.94627
Bellus Academy-Poway,Poway,CA,Far West,Private for-profit,2-year,Certificate,,,324,0.4753,0.4361,23753,,,,0.7299,7917,23546,25223,9302,45871,0.419,0.314,32.957184,-117.042531
Belmont Abbey College,Belmont,NC,Southeast,Private nonprofit,4-year,Bachelor's,0.7465,1099,1276,0.2421,0.2737,56211,34788,19500,19500,0.4668,26000,43816,47937,31040,70419,0.718,0.542,35.260651,-81.041315
Belmont College,St Clairsville,OH,Great Lakes,Public,2-year,Associate,,,600,0.2713,0.5089,26844,12680,4698,7200,0.4261,8747,34145,35329,18238,56456,0.541,0.248,40.07695,-80.964901
Belmont University,Nashville,TN,Southeast,Private nonprofit,4-year,Bachelor's,0.9528,1280,7137,0.2075,0.1585,87507,62570,42540,42540,0.7066,20500,42770,55930,32026,84814,0.748,0.367,36.135589,-86.794807
Beloit College,Beloit,WI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.6304,1287,926,0.2964,0.193,69784,71365,60886,60886,0.7105,25738,41660,53260,34613,73974,0.757,0.483,42.504022,-89.029285
Bemidji State University,Bemidji,MN,Plains,Public,4-year,Bachelor's,0.5598,1090,3139,0.2832,0.2725,57931,22744,10237,10237,0.4787,19750,47469,53755,37138,74504,0.765,0.367,47.482341,-94.874119
Ben Franklin Career Center,Dunbar,WV,Southeast,Public,Less than 2-year,Certificate,,,78,0.459,0.5217,10926,,,,0.8636,,28611,37962,26472,55046,0.36,,38.367234,-81.75353
Bene's Career Academy,New Port Richey,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,321,0.6248,0.5328,10523,,,,0.6259,6333,16768,19359,7521,37408,0.299,0.327,28.259612,-82.728584
Benedict College,Columbia,SC,Southeast,Private nonprofit,4-year,Bachelor's,0.957,,1536,0.6234,0.4079,17950,32000,17440,17440,0.2426,32500,24908,31902,16343,45905,0.442,1.019,34.012941,-81.020403
Benedictine College,Atchison,KS,Plains,Private nonprofit,4-year,Bachelor's,0.9812,1252,2272,0.1878,0.1496,95543,52206,36350,36350,0.6158,24599,45000,53175,34898,74536,0.735,0.463,39.573079,-95.113858
Benedictine University,Lisle,IL,Great Lakes,Private nonprofit,4-year,Bachelor's,0.9523,,1942,0.3947,0.3432,47021,46713,35940,35940,0.5033,22500,50222,63446,40888,87863,0.765,0.355,41.777569,-88.097307
Benjamin Franklin Cummings Institute of Technology,Boston,MA,New England,Private nonprofit,4-year,Certificate,,,483,0.3966,0.4878,22015,30406,18906,18906,0.4577,12000,50583,57556,,80287,0.759,0.208,42.346023,-71.070231
Bennett Career Institute,Washington,DC,Mid East,Private for-profit,Less than 2-year,Certificate,,,176,0.5766,0.5562,9059,,,,0.5099,6333,18653,22568,8443,47672,0.588,0.281,38.93264,-76.995965
Bennett College,Greensboro,NC,Southeast,Private nonprofit,4-year,Bachelor's,0.5066,925,178,0.7282,0.3169,26482,41296,19140,19140,0.25,28130,23153,36654,19747,54181,0.571,0.767,36.067531,-79.77998
Bennington College,Bennington,VT,New England,Private nonprofit,4-year,Bachelor's,0.4453,1364,780,0.2527,0.126,75360,87284,66262,66262,0.7121,26000,24711,38289,19841,67910,0.529,0.679,42.919547,-73.237799
Bentley University,Waltham,MA,New England,Private nonprofit,4-year,Bachelor's,0.4505,1352,4474,0.1607,0.1555,106566,79548,61000,61000,0.8679,25023,86679,120959,90680,160802,0.932,0.207,42.385995,-71.222839
Berea College,Berea,KY,Southeast,Private nonprofit,4-year,Bachelor's,0.1934,1249,1513,0.8373,0.4058,22742,60718,51658,51658,0.5822,3591,35676,43150,26672,63165,0.649,0.083,37.57202,-84.292893
Bergen Community College,Paramus,NJ,Mid East,Public,2-year,Associate,,,10557,0.3482,0.4936,25610,17184,4913,9294,0.2069,12000,36599,46624,24615,72304,0.681,0.257,40.951782,-74.088804
Berk Trade and Business School,Long Island City,NY,Mid East,Private for-profit,Less than 2-year,Certificate,,,152,0.367,0.5512,15774,,,,0.949,6333,45195,49748,29641,79948,0.625,0.127,40.745021,-73.930982
Berkeley City College,Berkeley,CA,Far West,Public,2-year,Associate,,,4456,0.1256,0.4683,13864,18845,1258,9898,0.3636,,35404,41217,16100,74426,0.579,,37.869769,-122.269877
Berkeley College-New York,New York,NY,Mid East,Private for-profit,4-year,Bachelor's,,,1449,0.5228,0.4941,17420,45041,29800,29800,0.4401,30426,37284,45884,21225,68154,0.711,0.663,40.753986,-73.979458
Berkeley College-Woodland Park,Woodland Park,NJ,Mid East,Private for-profit,4-year,Bachelor's,,,1778,0.6184,0.5746,21489,44691,29800,29800,0.4371,23251,37060,40251,20207,59554,0.716,0.578,40.898587,-74.189483
Berklee College of Music,Boston,MA,New England,Private nonprofit,4-year,Bachelor's,0.4353,,7468,0.1618,0.2123,50454,72700,52040,52040,0.6731,25000,26462,33647,12235,61842,0.553,0.743,42.346646,-71.089405
Berkshire Community College,Pittsfield,MA,New England,Public,2-year,Associate,,,1358,0.3251,0.4487,24310,18062,6164,11468,0.2,12053,36584,38832,13684,62484,0.594,0.31,42.45975,-73.314704
Berry College,Mount Berry,GA,Southeast,Private nonprofit,4-year,Bachelor's,0.64,1220,2245,0.2677,0.1687,82688,56697,41686,41686,0.6949,23250,45014,53800,36699,74990,0.717,0.432,34.290414,-85.189202
Best Care College,East Orange,NJ,Mid East,Private for-profit,2-year,Certificate,,,44,0.5414,0.7297,22252,,,,0.6389,,61554,64311,41663,94649,,,40.765332,-74.221116
Beth Medrash Govoha,Lakewood,NJ,Mid East,Private nonprofit,4-year,Bachelor's,,,4027,0.7449,0.3081,16524,,,,,,40300,47544,19105,90795,0.496,,40.095672,-74.221328
Bethany College,Bethany,WV,Southeast,Private nonprofit,4-year,Bachelor's,0.5879,,614,0.5116,0.3388,50433,50758,36765,36765,0.4682,27000,37124,44512,24862,65576,0.791,0.607,40.205819,-80.560056
Bethany College,Lindsborg,KS,Plains,Private nonprofit,4-year,Bachelor's,0.56,,569,0.4819,0.3326,45677,53738,33000,33000,0.3574,23250,40805,49694,32608,65722,0.793,0.468,38.580598,-97.67367
Bethany Lutheran College,Mankato,MN,Plains,Private nonprofit,4-year,Bachelor's,0.3897,1150,669,0.2247,,70558,41013,31360,31360,0.5486,23000,40652,46110,30114,65204,0.718,0.499,44.166649,-93.990805
Bethel College-North Newton,North Newton,KS,Plains,Private nonprofit,4-year,Bachelor's,0.935,,504,0.4056,0.3441,42988,52193,35014,35014,0.4112,24000,40808,49898,33144,70949,0.796,0.481,38.075169,-97.343256
Bethel University,Saint Paul,MN,Plains,Private nonprofit,4-year,Bachelor's,0.878,1249,1871,0.1852,0.1858,77426,58569,44226,44226,0.7138,21500,55145,63764,41260,92932,0.77,0.337,45.057655,-93.161663
Bethel University,Mishawaka,IN,Great Lakes,Private nonprofit,4-year,Bachelor's,0.9766,1014,1008,0.3349,0.3245,45226,43885,34600,34600,0.5322,25000,44271,48860,29348,72745,0.699,0.512,41.678399,-86.194686
Bethel University,McKenzie,TN,Southeast,Private nonprofit,4-year,Bachelor's,0.6023,972,1547,0.317,0.5122,27406,31203,18712,18712,0.3505,27249,38990,47482,30259,68992,0.743,0.574,36.137848,-88.516762
Bethune-Cookman University,Daytona Beach,FL,Southeast,Private nonprofit,4-year,Bachelor's,0.8824,880,2732,0.783,0.4223,22914,29764,14794,14794,0.3052,31000,28282,38518,20686,54236,0.583,0.805,29.207195,-81.032946
Beulah Heights University,Atlanta,GA,Southeast,Private nonprofit,4-year,Bachelor's,,,138,0.2785,0.4574,13003,,8492,8492,0.3333,,21108,35236,,52940,0.56,,33.736993,-84.35768
Bevill State Community College,Jasper,AL,Southeast,Public,2-year,Certificate,,,2177,0.2983,0.5308,16911,13827,4734,8346,0.38,,31129,34107,17891,51517,0.53,,33.837056,-87.265258
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,120,0.4044,0.7111,16488,,,,,,18516,25139,13486,36699,,,33.916443,-118.041477
Big Bend Community College,Moses Lake,WA,Far West,Public,4-year,Associate,,,1272,0.3494,0.5257,24000,21661,5059,5619,0.4151,9166,35267,43814,25142,62776,0.643,0.209,47.183651,-119.325678
Big Bend Technical College,Perry,FL,Southeast,Public,Less than 2-year,Certificate,,,130,0.4261,0.6667,17833,,,,0.9829,,35988,27609,13588,47328,0.297,,30.077954,-83.565783
Big Sandy Community and Technical College,Prestonsburg,KY,Southeast,Public,2-year,Certificate,,,1604,0.4448,0.6031,13825,13047,4728,6432,0.3774,9357,28106,32954,16634,52074,0.464,0.284,37.688248,-82.778847
Binghamton University,Vestal,NY,Mid East,Public,4-year,Bachelor's,0.3861,1415,14655,0.2812,0.2484,61401,30345,10567,30447,0.8162,18500,61621,80596,53396,113934,0.855,0.23,42.087868,-75.966889
Biola University,La Mirada,CA,Far West,Private nonprofit,4-year,Bachelor's,0.7435,1261,3474,0.2604,0.2355,60489,62757,48984,48984,0.676,23875,45752,56778,32980,83447,0.734,0.42,33.906203,-118.014374
Bishop State Community College,Mobile,AL,Southeast,Public,2-year,Certificate,,,2437,0.3941,0.4854,14536,13085,5340,9210,0.3596,,25100,29916,15254,47250,0.428,,30.693972,-88.056982
Bismarck State College,Bismarck,ND,Plains,Public,4-year,Associate,,,2839,0.1456,0.2723,55668,15771,5247,7331,0.4724,11533,50401,54277,34717,83256,0.761,0.212,46.821459,-100.816534
Black Hawk College,Moline,IL,Great Lakes,Public,2-year,Certificate,,,2354,0.2691,0.4425,25848,12291,4920,8100,0.3967,8375,34022,37253,19407,55806,0.568,0.225,41.477283,-90.447799
Black Hills State University,Spearfish,SD,Plains,Public,4-year,Bachelor's,0.9633,1087,1928,0.2001,0.284,51046,21277,8764,11866,0.4263,26000,38927,46674,28912,63502,0.691,0.557,44.494889,-103.870966
Black River Technical College,Pocahontas,AR,Southeast,Public,2-year,Certificate,,,903,0.3731,0.4807,20619,14374,4776,7488,0.5451,9500,31263,34818,19002,53098,0.512,0.273,36.239793,-90.951033
Blackburn College,Carlinville,IL,Great Lakes,Private nonprofit,4-year,Bachelor's,0.6319,,471,0.4987,0.4396,29508,37916,28149,28149,0.5749,24242,36665,46802,32912,63312,0.769,0.518,39.287896,-89.870241
Blackfeet Community College,Browning,MT,Rocky Mountains,Private nonprofit,4-year,Associate,,,286,0.4929,0.3478,10287,11405,3610,3610,0.623,,22428,22953,7866,37636,0.266,,48.551927,-113.009387
Blackhawk Technical College,Janesville,WI,Great Lakes,Public,2-year,Certificate,,,2488,0.3642,0.5081,24284,15522,4267,6061,0.3382,9550,37606,41620,24705,58856,0.575,0.229,42.593159,-89.016254
Bladen Community College,Dublin,NC,Southeast,Public,2-year,Associate,,,1030,0.6909,0.474,16085,12613,2618,8762,0.2273,,28205,30591,15394,46801,0.455,,34.644691,-78.731119
Blake Austin College,Vacaville,CA,Far West,Private for-profit,2-year,Certificate,,,217,0.5982,0.5585,20160,,,,0.8904,10249,35346,42518,18109,65692,,0.241,38.353851,-121.983781
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,Great Lakes,Private nonprofit,4-year,Bachelor's,,,176,0.3622,0.3701,39159,,,,,13000,67602,72430,52110,95088,0.821,0.179,39.949641,-91.357497
Blinn College District,Brenham,TX,Southwest,Public,2-year,Associate,,,15535,0.2105,0.3983,34663,15252,4890,11370,0.1081,11500,38017,46318,26677,69164,0.703,0.248,30.160457,-96.40852
Bloomfield College of Montclair State University,Bloomfield,NJ,Mid East,Public,4-year,Bachelor's,0.6974,,781,0.7036,0.4124,40178,42035,15912,26022,0.3811,22000,47944,61415,38809,84277,0.799,0.358,40.795105,-74.194309
Blue Cliff Career College,Mobile,AL,Southeast,Private for-profit,Less than 2-year,Certificate,,,107,0.4234,,22401,,,,0.8,7917,20654,21365,9757,37152,0.45,0.371,30.670281,-88.114952
Blue Cliff College,Metairie,LA,Southeast,Private for-profit,2-year,Not classified,,,,,0.637,11179,,,,,9500,20197,22177,11069,34920,0.435,0.428,,
Blue Cliff College-Alexandria,Alexandria,LA,Southeast,Private for-profit,Less than 2-year,Certificate,,,345,0.7985,0.637,11179,,,,0.3395,9500,20197,22177,11069,34920,0.435,0.428,31.276699,-92.475371
Blue Cliff College-Gulfport,Gulfport,MS,Southeast,Private for-profit,2-year,Certificate,,,200,0.6605,0.637,11179,,,,0.7,9500,20197,22177,11069,34920,0.435,0.428,30.442482,-89.039348
Blue Cliff College-Lafayette,Lafayette,LA,Southeast,Private for-profit,Less than 2-year,Certificate,,,62,0.7897,0.637,11179,,,,0.5,9500,20197,22177,11069,34920,0.435,0.428,30.18811,-92.011131
Blue Cliff College-Metairie,Metairie,LA,Southeast,Private for-profit,Less than 2-year,Certificate,,,291,0.7558,0.637,11179,,,,0.5649,9500,20197,22177,11069,34920,0.435,0.428,30.002779,-90.172771
Blue Mountain Christian University,Blue Mountain,MS,Southeast,Private nonprofit,4-year,Bachelor's,0.8895,1090,498,0.2877,0.3696,36485,33197,20180,20180,0.5476,18534,35401,40421,28608,51437,0.605,0.459,34.67209,-89.02924
Blue Mountain Community College,Pendleton,OR,Far West,Public,2-year,Associate,,,962,0.3253,0.5007,23176,20650,7076,9754,0.2983,12000,33885,38375,19674,56881,0.603,0.313,45.677313,-118.816944
Blue Ridge Community College,Weyers Cave,VA,Southeast,Public,2-year,Certificate,,,2730,0.3163,0.4761,24958,20788,5646,12084,0.4037,10409,37349,42644,25141,60692,0.644,0.244,38.279075,-78.937471
Blue Ridge Community College,Flat Rock,NC,Southeast,Public,2-year,Certificate,,,1758,0.3505,0.4594,23192,13274,2660,8804,0.4972,12000,31807,36324,19103,53491,0.496,0.33,35.30804,-82.425544
Blue Ridge Community and Technical College,Martinsburg,WV,Southeast,Public,2-year,Associate,,,1661,0.2038,0.5344,28753,11522,4752,8808,0.3232,13000,35210,39293,19202,58443,,0.331,39.43529,-78.001918
Bluefield College - Edward Via College of Osteopathic Medicine,Blacksburg,VA,Southeast,Private nonprofit,4-year,Not classified,,,,,0.425,38217,,,,,21855,41923,48896,32976,72675,0.762,0.447,,
Bluefield State University,Bluefield,WV,Southeast,Public,4-year,Bachelor's,0.9723,989,1042,0.4444,0.4925,26625,21839,10648,18376,0.37,18250,35030,38217,18934,61745,0.548,0.478,37.265732,-81.239037
Bluefield University,Bluefield,VA,Southeast,Private nonprofit,4-year,Bachelor's,0.5931,,614,0.5136,0.425,38217,42539,26770,26770,0.1778,21855,41923,48896,32976,72675,0.762,0.447,37.244557,-81.246233
Bluefield University - Edward Via College - Auburn,Auburn,AL,Southeast,Private nonprofit,4-year,Not classified,,,,,0.425,38217,,,,,21855,41923,48896,32976,72675,0.762,0.447,,
Bluegrass Community and Technical College,Lexington,KY,Southeast,Public,2-year,Certificate,,,8244,0.3258,0.4459,24109,13902,4808,6512,0.4311,10500,32081,36343,18236,55372,0.538,0.289,38.061375,-84.499928
Bluffton University,Bluffton,OH,Great Lakes,Private nonprofit,4-year,Bachelor's,0.6723,976,582,0.4468,0.3272,60399,51862,37362,37362,0.5294,27000,41940,49547,37115,65380,0.742,0.545,40.895606,-83.899439
Bob Jones University,Greenville,SC,Southeast,Private nonprofit,4-year,Bachelor's,,,2005,0.3286,0.1441,51346,36580,24470,24470,0.6475,16585,40892,44354,28843,68207,,0.374,34.874016,-82.365838
Boise Bible College,Boise,ID,Rocky Mountains,Private nonprofit,4-year,Bachelor's,0.9048,1040,93,0.4854,,45930,23301,11802,11802,0.3158,,32662,33140,15380,52277,0.542,,43.658651,-116.291321
Boise State University,Boise,ID,Rocky Mountains,Public,4-year,Bachelor's,0.8721,,17674,0.1808,0.3347,42915,28224,9048,27788,0.602,20500,45251,51658,32650,76483,0.706,0.397,43.604284,-116.203301
Bon Secours Memorial College of Nursing,Richmond,VA,Southeast,Private nonprofit,4-year,Bachelor's,,,591,0.2746,0.3621,43706,,,,,26500,75150,77014,50334,98178,0.897,0.344,37.646698,-77.433569
Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,Southeast,Private nonprofit,2-year,Associate,,,35,0.2258,,36664,,,,,,54191,65432,59704,80969,,,37.646698,-77.433569
Boricua College,New York,NY,Mid East,Private nonprofit,4-year,Bachelor's,,,391,0.8603,0.5232,14158,24213,13025,13025,0.806,6733,30398,35348,17796,56202,0.649,0.19,40.833434,-73.9458
Bossier Parish Community College,Bossier City,LA,Southeast,Public,2-year,Certificate,,,4935,0.521,0.4831,19616,17111,4283,4283,0.1522,17500,26552,34502,18400,53430,0.589,0.507,32.539551,-93.646881
Boston Architectural College,Boston,MA,New England,Private nonprofit,4-year,Certificate,,,280,0.2876,,24033,40343,27470,27470,0.3158,37250,58619,62123,31511,81714,0.754,0.6,42.348467,-71.085786
Boston Baptist College,Boston,MA,New England,Private nonprofit,4-year,Bachelor's,0.9091,,19,0.5455,,53774,23370,14304,14304,0.1429,,,34159,,56719,0.54,,42.254037,-71.1103
Boston College,Chestnut Hill,MA,New England,Private nonprofit,4-year,Bachelor's,0.1643,1507,10085,0.1291,0.1319,103007,89493,70702,70702,0.9083,19000,85717,103937,68220,161815,0.908,0.183,42.336213,-71.169242
Boston University,Boston,MA,New England,Private nonprofit,4-year,Bachelor's,0.1111,1480,18248,0.1915,0.1694,81244,86285,68102,68102,0.8866,23250,65655,83238,56723,122012,0.872,0.279,42.351118,-71.107942
Bowdoin College,Brunswick,ME,New England,Private nonprofit,4-year,Bachelor's,0.0713,1520,1873,0.1735,0.1884,61622,85100,67832,67832,0.9528,18500,61692,82735,50534,126498,0.842,0.224,43.907134,-69.963942
Bowie State University,Bowie,MD,Mid East,Public,4-year,Bachelor's,0.7241,,5043,0.4435,0.3552,36428,25220,9218,19938,0.382,22985,43877,54537,32913,78678,0.799,0.421,39.018185,-76.759721
Bowling Green State University-Firelands,Huron,OH,Great Lakes,Public,4-year,Associate,,,1251,0.2822,0.3033,63845,22070,6407,14395,0.1132,25000,41281,47896,31725,67179,0.773,0.522,41.397566,-82.594266
Bowling Green State University-Main Campus,Bowling Green,OH,Great Lakes,Public,4-year,Bachelor's,0.8096,1117,12812,0.2313,0.3033,63845,33007,14460,22448,0.6373,25000,41281,47896,31725,67179,0.773,0.522,41.375513,-83.640896
Bradley University,Peoria,IL,Great Lakes,Private nonprofit,4-year,Bachelor's,0.7676,,3574,0.3165,0.236,79479,54730,42160,42160,0.7617,27000,59114,66852,44657,91207,0.849,0.404,40.696896,-89.616786
Brandeis University,Waltham,MA,New England,Private nonprofit,4-year,Bachelor's,0.405,1462,3618,0.1497,0.1631,72612,86448,68080,68080,0.8603,25648,52967,77231,51787,116723,0.825,0.332,42.365727,-71.260155
Brazosport College,Lake Jackson,TX,Southwest,Public,4-year,Certificate,,,2622,0.1738,0.5395,22271,12167,2388,4711,0.562,5641,37347,45910,23521,69988,0.621,0.123,29.048604,-95.40934
Brenau University,Gainesville,GA,Southeast,Private nonprofit,4-year,Bachelor's,0.8778,1079,1029,0.4586,0.4032,29256,46010,34027,34027,0.3291,27000,41664,54003,34083,79256,0.767,0.5,34.303117,-83.821513
Brescia University,Owensboro,KY,Southeast,Private nonprofit,4-year,Bachelor's,0.3524,,545,0.4265,0.4521,34373,44328,31550,31550,0.5371,29430,39897,45500,30932,61499,0.782,0.647,37.769041,-87.111639
Brevard College,Brevard,NC,Southeast,Private nonprofit,4-year,Bachelor's,0.4216,1060,815,0.4058,0.2946,42000,47288,32280,32280,0.4884,25000,34401,43545,29332,60200,0.606,0.574,35.236763,-82.729494
Brewton-Parker Christian University,Mount Vernon,GA,Southeast,Private nonprofit,4-year,Associate,0.9649,,774,0.4519,0.3761,31140,38918,20120,20120,0.2103,24990,35732,42009,25920,56205,0.593,0.595,32.185718,-82.586136
Briar Cliff University,Sioux City,IA,Plains,Private nonprofit,4-year,Bachelor's,,,624,0.5318,0.3641,44561,51493,36956,36956,0.4751,23250,48338,54475,37025,74880,0.763,0.427,42.526443,-96.428444
BridgeValley Community & Technical College,South  Charleston,WV,Southeast,Public,2-year,Associate,,,1854,0.4657,0.5513,25352,12299,5800,12428,0.3421,9829,34209,36432,20059,57225,,0.27,38.353846,-81.6983
Bridgerland Technical College,Logan,UT,Rocky Mountains,Public,Less than 2-year,Certificate,,,1567,0.0903,0.356,20892,,,,0.7531,,37818,38347,18087,60588,0.544,,41.756188,-111.850619
Bridges Beauty College,Victorville,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,98,0.566,,16426,,,,0.9038,,17272,17287,7191,38029,0.196,,34.528602,-117.303933
Bridgewater College,Bridgewater,VA,Southeast,Private nonprofit,4-year,Bachelor's,0.9172,1180,1400,0.2983,0.3202,71046,58702,16090,16090,0.5305,26000,45620,53453,39649,72917,0.804,0.486,38.378484,-78.969007
Bridgewater State University,Bridgewater,MA,New England,Public,4-year,Bachelor's,0.8781,1180,7829,0.3194,0.3414,57864,26160,11808,17948,0.5341,24286,46673,57466,32347,78949,0.788,0.423,41.98749,-70.974553
Brigham Young University,Provo,UT,Rocky Mountains,Private nonprofit,4-year,Bachelor's,0.6778,1376,32952,0.321,0.138,46790,22690,6688,6688,0.8098,11069,58450,75790,39894,119196,0.778,0.146,40.250851,-111.649281
Brigham Young University-Hawaii,Laie,HI,Far West,Private nonprofit,4-year,Bachelor's,0.4696,1130,2889,0.151,0.1919,39517,25098,6630,6630,0.5264,9413,39316,52064,25782,82636,0.695,0.181,21.642074,-157.926586
Brigham Young University-Idaho,Rexburg,ID,Rocky Mountains,Private nonprofit,4-year,Certificate,0.9575,1118,44397,0.243,0.2435,42100,15246,4800,4800,0.5548,13969,40447,53406,26332,85303,0.679,0.262,43.818408,-111.782431
Brighton Center's Center for Employment Training,Newport,KY,Southeast,Private nonprofit,Less than 2-year,Certificate,,,53,0.7387,0.6196,7699,,,,0.2667,,24025,24540,11412,37686,0.232,,39.092904,-84.490096
Brightpoint Community College,Chester,VA,Southeast,Public,2-year,Certificate,,,5792,0.2252,0.4151,25355,12196,5082,11520,0.3834,9500,35568,41223,22526,61976,0.635,0.23,37.346254,-77.407919
Brillare Beauty Institute,Cleveland,TN,Southeast,Private nonprofit,Less than 2-year,Certificate,,,265,0.7163,0.377,17924,,,,0.8372,7479,16588,24728,9325,39150,0.237,0.302,35.191417,-84.881446
Bristol Community College,Fall River,MA,New England,Public,2-year,Associate,,,6083,0.4616,0.5074,25409,12168,5832,10776,0.2246,8243,35555,38663,21287,59563,0.584,0.213,41.721994,-71.119133
Brite Divinity School,Fort Worth,TX,Southwest,Private nonprofit,4-year,Graduate,,,,,0.2041,73000,,,,,21500,60435,68424,44497,98051,0.83,0.314,32.710145,-97.359137
